"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
20,57.220458984375,57.220458984375
26.3591091573302,57.220458984375,57.220458984375
34.7401317784023,57.220458984375,57.220458984375
45.785946284347,57.220458984375,57.220458984375
60.3438377990379,57.220458984375,57.220458984375
79.5304903758533,76.2939453125,76.2939453125
104.817643857656,95.367431640625,95.367431640625
138.144985802905,133.514404296875,133.514404296875
182.06893801583,190.73486328125,190.73486328125
239.958750565922,247.955322265625,247.955322265625
316.254944971185,324.249267578125,324.249267578125
416.809930802045,419.61669921875,419.61669921875
549.336923193517,553.131103515625,553.131103515625
724.001596130491,724.79248046875,724.79248046875
954.201855124243,953.67431640625,953.67431640625
1257.59554286734,1258.85009765625,1258.85009765625
1657.45490951061,1659.39318847656,1659.39318847656
2184.45174415715,2193.45068359375,2193.45068359375
2879.01009865792,2880.09643554687,2880.09643554687
3794.407072779,3795.62377929687,3795.62377929687
5000.85951093637,4997.25341796875,4997.25341796875
6590.91008646222,6599.42626953125,6599.42626953125
8686.5259207603,8678.4365234375,8678.4365234375
11448.4542471649,11444.0908203125,11444.0908203125
15088.552759186,15087.1279296875,15087.1279296875
19886.040460276,19893.646484375,19893.646484375
26208.9155599749,26206.970703125,26206.970703125
34542.1833070314,34542.08203125,34542.08203125
45525.0590161274,45528.41015625,45528.41015625
59999.9999999999,60005.1875,60005.1875

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)","Ch-2 (deg)"
20,-98.7372589111328,0
26.3591091573302,-79.5214233398438,0
34.7401317784023,-95.0100250244141,0
45.785946284347,-76.6954498291016,0
60.3438377990379,-97.48779296875,0
79.5304903758533,-90.4638366699219,0
104.817643857656,-90.7483062744141,0
138.144985802905,-91.0201873779297,0
182.06893801583,-91.4193572998047,0
239.958750565922,-91.8920288085938,0
316.254944971185,-92.5253524780273,0
416.809930802045,-93.3202209472656,0
549.336923193517,-94.3983764648438,0
724.001596130491,-95.8276672363281,0
954.201855124243,-97.7674865722656,0
1257.59554286734,-100.352294921875,0
1657.45490951061,-104.013809204102,0
2184.45174415715,-109.279693603516,0
2879.01009865792,-117.490570068359,0
3794.407072779,-131.516372680664,0
5000.85951093637,-157.026931762695,0
6590.91008646222,165.814102172852,0
8686.5259207603,136.338226318359,0
11448.4542471649,119.821952819824,0
15088.552759186,110.288764953613,0
19886.040460276,104.159942626953,0
26208.9155599749,99.8446044921875,0
34542.1833070314,96.5751953125,0
45525.0590161274,93.9238891601563,0
59999.9999999999,91.593017578125,0

