"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
60,59.9965019226074
64.5232579766264,64.5205535888672
69.3875136653046,69.3872451782227
74.6184740763856,74.6201858520508
80.2437842108806,80.2447204589844
86.2931731609898,86.2949142456055
92.7986112248039,92.7991790771484
99.7944788655113,99.7944641113281
107.31774840804,107.302597045898
115.408179433377,115.388565063477
124.10852890321,124.101768493652
133.464777125356,133.464782714844
143.526370754205,143.532241821289
154.346484110375,154.355270385742
165.98230020065,165.972427368164
178.49531292334,178.502716064453
191.951652056188,191.952850341797
206.422432744351,206.421722412109
221.984131335443,221.991744995117
238.718989547901,238.714630126953
256.715449108647,256.711669921875
276.068619157045,276.071929931641
296.880778885351,296.883148193359
319.261918072021,319.258666992187
343.330318364559,343.328125
369.213178383895,369.214721679687
397.047285953904,397.043701171875
426.979741008718,426.98388671875
459.168732998311,459.172912597656
493.784376900845,493.777465820312
531.009612260015,531.009338378906
571.041169998688,571.041076660156
614.090612118332,614.090759277344
660.385449778925,660.387573242187
710.170345668267,710.167419433594
763.708407015059,763.707641601563
821.282576079184,821.284545898437
883.197125467757,883.191101074219
949.779266179516,949.779541015625
1021.38087687586,1021.38366699219
1098.38036351757,1098.38000488281
1181.18465919508,1181.18518066406
1270.23137472129,1270.22937011719
1365.99111135245,1365.99108886719
1468.96994785954,1468.96911621094
1579.71211509421,1579.71655273437
1698.80287218376,1698.80786132812
1826.87159955578,1826.873046875
1964.59512513849,1964.59460449219
2112.70130131556,2112.70166015625
2271.97285153897,2271.97680664062
2443.251506929,2443.23754882812
2627.44245472269,2627.44287109375
2825.51912208021,2825.52368164062
3038.5283205312,3038.53393554687
3267.59577824867,3267.59692382812
3513.9320893879,3513.93212890625
3778.83911193202,3778.82202148437
4063.71684785592,4063.71704101562
4370.07084196951,4370.0712890625
4699.52013854219,4699.51953125
5053.80583775848,5053.806640625
5434.80029722451,5434.80419921875
5844.51702715438,5844.51953125
6285.12133153112,6285.12353515625
6758.94175147967,6758.94287109375
7268.48237132856,7268.48193359375
7816.43605239656,7816.435546875
8405.6986644431,8405.6982421875
9039.3843899941,9039.3798828125
9720.84218242465,9720.8095703125
10453.6734647776,10453.6689453125
11241.7511628543,11241.796875
12089.2401731648,12089.234375
13000.6193739085,13000.6181640625
13980.7052953104,13980.7060546875
15034.6775744083,15034.6845703125
16168.1063288158,16168.1103515625
17386.9815941285,17386.98828125
18697.7449805467,18697.75
20107.3237160165,20107.328125
21623.1672558011,21623.166015625
23253.2866519633,23253.28515625
25006.2968908178,25006.294921875
26891.4624221058,26891.45703125
28918.7461205048,28918.74609375
31098.8619382315,31098.869140625
33443.331527,33443.33984375
35964.5451285744,35964.54296875
38675.8270557171,38675.828125
41591.5061095904,41591.515625
44726.9913057588,44727.00390625
48098.8533089967,48098.859375
51724.9120072717,51724.90625
55624.3306877249,55624.32421875
59817.7173123541,59817.7265625
64327.2334286322,64327.23046875
69176.7112906383,69176.71875
74391.7798096743,74391.796875
80000,79999.984375

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
60,-41.6324192992922
64.5232579766264,-41.0012961069865
69.3875136653046,-40.3695922093004
74.6184740763856,-39.737709325141
80.2437842108806,-39.106674133822
86.2931731609898,-38.4754288373472
92.7986112248039,-37.8447163919626
99.7944788655113,-37.2122245867807
107.31774840804,-36.5821126561203
115.408179433377,-35.951435829268
124.10852890321,-35.304110852004
133.464777125356,-34.6880854849583
143.526370754205,-34.0518567331979
154.346484110375,-33.4196709579007
165.98230020065,-32.7911496468282
178.49531292334,-32.1569927030954
191.951652056188,-31.5288494790134
206.422432744351,-30.8974961431949
221.984131335443,-30.2609512062167
238.718989547901,-29.6304690391675
256.715449108647,-28.9942853807339
276.068619157045,-28.3675949662626
296.880778885351,-27.7328536418849
319.261918072021,-27.0997180702162
343.330318364559,-26.4678459242846
369.213178383895,-25.8334039374062
397.047285953904,-25.1998882450898
426.979741008718,-24.5637840694606
459.168732998311,-23.9294504323124
493.784376900845,-23.2929677218658
531.009612260015,-22.6559216285377
571.041169998688,-22.0186033689806
614.090612118332,-21.3789839522808
660.385449778925,-20.7382978549359
710.170345668267,-20.0961698997588
763.708407015059,-19.4530824367015
821.282576079184,-18.8071158225117
883.197125467757,-18.1591583398475
949.779266179516,-17.5090691307646
1021.38087687586,-16.8554401203878
1098.38036351757,-16.1984482253149
1181.18465919508,-15.5366333591387
1270.23137472129,-14.8709613257541
1365.99111135245,-14.198932953802
1468.96994785954,-13.5217503579497
1579.71211509421,-12.8371088246938
1698.80287218376,-12.1442900186229
1826.87159955578,-11.442214420174
1964.59512513849,-10.7295361717983
2112.70130131556,-10.0044845962388
2271.97285153897,-9.26592200003745
2443.251506929,-8.51286787622118
2627.44245472269,-7.74273644687306
